Ad?,Company Name,Stars,Phone Number,Yelp URL,Company URL,Email
Natural,Kings Highway Oral Surgery,5.0,(718) 576-6999,http://yelp.com/biz/kings-highway-oral-surgery-brooklyn,http://kingshighwayoms.com,,1610 E 19th St,Brooklyn,NY,11229
Natural,NYC Surgical Associates,4.5,(888) 286-6600,http://yelp.com/biz/nyc-surgical-associates-manhattan-4,http://www.nycsurgical.net/,,14 E 60th StSte 501,Manhattan,NY,10022
Natural,"Jonathan H. Sherwyn, MD",5.0,(212) 517-2700,http://yelp.com/biz/jonathan-h-sherwyn-md-new-york,http://www.drsherwyn.com,,50 East 79th Street,New York,NY,10075
Natural,"Richard Swift, MD",4.5,(212) 577-9324,http://yelp.com/biz/richard-swift-md-new-york,http://www.plasticsurgeonnyc.com/,,110 E 87th St,New York,NY,10128
Natural,"Ethos Spa, Skin And Laser Center",4.5,(908) 273-5400,http://yelp.com/biz/ethos-spa-skin-and-laser-center-summit,http://www.myethosspa.com,,89 Summit Ave,Summit,NJ,07901
Natural,Park Avenue Aesthetic Surgery,4.0,(212) 481-3939,http://yelp.com/biz/park-avenue-aesthetic-surgery-new-york,http://www.drsenderoff.com,,461 Park Ave S7th Fl,New York,NY,10016
Natural,The Kaplan Center for Plastic & Reconstructive Surgery,4.5,(201) 786-1977,http://yelp.com/biz/the-kaplan-center-for-plastic-and-reconstructive-surgery-edgewater-4,http://www.thekaplancenter.com/,,1033 River RdSte 1,Edgewater,NJ,07020
Natural,"Samer Jaber, MD",5.0,(646) 854-6744,http://yelp.com/biz/samer-jaber-md-new-york,http://www.jaberdermatology.com,,18 Washington Square North,New York,NY,10011
Natural,"Howard Sobel, MD PC",3.5,(212) 288-0060,http://yelp.com/biz/howard-sobel-md-pc-new-york,http://www.drsobel.com/,,960 Park Ave,New York,NY,10028
Natural,"Barry M Weintraub, MD",4.5,(855) 733-1717,http://yelp.com/biz/barry-m-weintraub-md-new-york,http://drbarryweintraub.com/,,800A 5th Ave,New York,NY,10065
Natural,"Maurice M Khosh, MD, FACS",4.5,(212) 339-9988,http://yelp.com/biz/maurice-m-khosh-md-facs-new-york,http://www.facedoctornyc.com/,,580 Park Ave,New York,NY,10065
Natural,"Adam Kolker, MD",4.5,(212) 744-6500,http://yelp.com/biz/adam-kolker-md-new-york,http://www.kolkermd.com/,,710 Park Ave,New York,NY,10021
Natural,"Albert Jen, MD",3.5,(718) 670-0006,http://yelp.com/biz/albert-jen-md-flushing,http://albertjenmd.com/,,136-20 38th AveSte 7J,Flushing,NY,11354
Natural,"Scott J Zevon, MD, FACS",5.0,(212) 496-6600,http://yelp.com/biz/scott-j-zevon-md-facs-new-york-2,http://www.drzevon.com,,75 Central Park W,New York,NY,10023
Natural,"Jon B Turk, MD",5.0,(212) 421-4845,http://yelp.com/biz/jon-b-turk-md-new-york-2,http://www.jonturkmd.com,,800A 5th Ave,New York,NY,10065
Natural,"Soignez-Vous Aesthetics by Lisa Hartman, PA-C",5.0,(929) 244-9894,http://yelp.com/biz/soignez-vous-aesthetics-by-lisa-hartman-pa-c-manhattan,http://lisahartmanpac.com/,,919 2nd AveSecond Floor,Manhattan,NY,10017
Natural,"Steven J Pearlman, MD, FACS",4.5,(212) 223-8300,http://yelp.com/biz/dr-steven-pearlman-new-york-15,,,,,,,undefined method `[]' for nil:NilClass
Natural,Dr Racanelli - Plastic Surgeon,5.0,(888) 409-0801,http://yelp.com/biz/dr-racanelli-plastic-surgeon-brooklyn,http://www.drracanelli.com,,1575 E 19th St4th Floor,Brooklyn,NY,11230
Natural,Precision Aesthetics,5.0,(212) 799-1411,http://yelp.com/biz/precision-aesthetics-new-york,http://www.precisionaestheticsmd.com/,,10 W 74th StSte 1A,New York,NY,10023
Natural,New Face New York,4.5,(212) 595-1922,http://yelp.com/biz/new-face-new-york-new-york,http://newfaceny.com/,,969 Park AveSte 1C,New York,NY,10028
Natural,"Adam Schaffner, MD, FACS",5.0,(212) 481-6696,http://yelp.com/biz/adam-schaffner-md-facs-new-york,http://www.plasticsurgeoninnyc.com,,461 Park Avenue South#7A,New York,NY,10016
Natural,"Douglas M Senderoff, MD",3.5,(212) 481-3939,http://yelp.com/biz/douglas-m-senderoff-md-new-york,http://www.drsenderoff.com,,461 Park Ave S7th Fl,New York,NY,10016
Natural,"Yael Halaas, MD",4.5,(212) 688-5955,http://yelp.com/biz/yael-halaas-md-new-york-2,http://www.drhalaas.com,,120 E 56th StSte 800,New York,NY,10022
Natural,"John A Perrotti, MD",5.0,(212) 861-6363,http://yelp.com/biz/john-a-perrotti-md-new-york-3,http://www.drperrotti.com,,330 E 63rd StSte 1H,New York,NY,10065
Natural,"Darrick E. Antell, MD, FACS",4.0,(212) 988-4040,http://yelp.com/biz/darrick-e-antell-md-facs-new-york,http://www.antell-md.com/,,850 Park Avenue,New York,NY,10075
Natural,Modern Dermatology,4.5,(212) 379-6477,http://yelp.com/biz/modern-dermatology-new-york-3,http://www.moderndermatologynyc.com,,65 BroadwaySte 1100,New York,NY,10006
Natural,NYC Medical Associates,3.0,(212) 843-5743,http://yelp.com/biz/nyc-medical-associates-new-york-2,http://www.veincenters.net,,333 East 49th StLobby D,New York,NY,10017
Natural,Hoboken Med Spa,3.0,(201) 313-8899,http://yelp.com/biz/edgewater-and-hoboken-cosmetic-and-laser-centers-hoboken,http://www.hobokenmedspa.com/,,79 Judson StSuite 301,Hoboken,NJ,07030
Natural,"Ramtin Kassir, MD",3.5,(973) 692-9300,http://yelp.com/biz/ramtin-kassir-md-wayne,http://www.drkassir.com,,Mona Lisa Cosmetic Surgery Center1176 Hamburg Tpke,Wayne,NJ,07470
Natural,"Danny Fong, MD",4.5,(212) 343-9009,http://yelp.com/biz/danny-fong-md-new-york,,,,,,,undefined method `[]' for nil:NilClass
Natural,New York Oral & Facial Surgery,5.0,(212) 355-8500,http://yelp.com/biz/new-york-oral-and-facial-surgery-new-york-2,http://www.oralfacialsurgeon.com,,18 E 48th StSte 1502,New York,NY,10017
Natural,"Michael A Fiorillo, MD",4.5,(845) 623-6141,http://yelp.com/biz/michael-a-fiorillo-md-pearl-river,http://www.drfiorillo.com,,150 S Pearl St,Pearl River,NY,10965
Natural,"Roy B Stoller, DO",5.0,(212) 920-4499,http://yelp.com/biz/roy-b-stoller-do-new-york-2,http://www.roystoller.com,,515 Madison AveSte 1205,New York,NY,10022
Natural,"Sachin M. Shridharani, MD - LUXURGERYВ©",5.0,(212) 508-0000,http://yelp.com/biz/sachin-m-shridharani-md-new-york-2,http://luxurgerynyc.com,,800A 5th Ave,New York,NY,10065
Natural,New Jersey Plastic Surgery,3.0,(973) 509-2000,http://yelp.com/biz/new-jersey-plastic-surgery-montclair,http://www.newjerseyplasticsurgery.com,,29 Park St,Montclair,NJ,07042
Natural,"Matthew W В White, MD",5.0,(646) 501-7906,http://yelp.com/biz/matthew-w-white-md-manhattan,http://www.drmatthewwhite.com/,,240 E 38th St14th Fl,Manhattan,NY,10016
Natural,"Joseph Racanelli, MD",5.0,(888) 409-0801,http://yelp.com/biz/joseph-racanelli-md-morristown,http://drracanelli.com/,,9 Madison St,Morristown,NJ,07960
Natural,New York Center For Facial Plastic & Laser Surgery,5.0,(212) 570-2500,http://yelp.com/biz/new-york-center-for-facial-plastic-and-laser-surgery-new-york,http://www.newyorkfacialplasticsurgery.com,,990 5th Ave,New York,NY,10075
Natural,Dr. Paul Jarrod Frank,4.0,(212) 327-2919,http://yelp.com/biz/dr-paul-jarrod-frank-new-york,http://www.pfrankmd.com,,1049 5th AveSte 2B,New York,NY,10028
Natural,Bespoke Surgical,4.5,(212) 206-1501,http://yelp.com/biz/bespoke-surgical-new-york-2,http://www.bespokesurgical.com/,,160 7th Ave S,New York,NY,10014
Natural,The Breslow Center,5.0,(201) 444-9522,http://yelp.com/biz/the-breslow-center-paramus,http://www.breslowmd.com/,,1 W Ridgewood AveSte 110,Paramus,NJ,07652
Natural,"Ayman Shahine, MD",2.0,(718) 745-7172,http://yelp.com/biz/ayman-shahine-md-brooklyn-2,http://www.nybeautysurgeon.com/,,334 86th St,Brooklyn,NY,11209
Natural,"Joshua Greenwald, MD, FACS",5.0,(212) 518-1642,http://yelp.com/biz/joshua-greenwald-md-facs-new-york,http://www.drgreenwald.com,,166 5th Ave2nd Fl,New York,NY,10010
Natural,"Ariel Ostad, MD, PC",3.0,(212) 517-7900,http://yelp.com/biz/ariel-ostad-md-pc-new-york,http://drarielostad.com,,897 Lexington Ave,New York,NY,10065
Natural,"George Yang, M.D.",5.0,(877) 692-3223,http://yelp.com/biz/george-yang-m-d-new-york,http://www.GeorgeYangMD.com,,"Millennium Facial Plastic Surgery, PLLC132 E 76th St, Ste 2B",New York,NY,10021
Natural,EBS Plastic Surgery,5.0,(212) 517-5600,http://yelp.com/biz/ebs-plastic-surgery-new-york,http://www.ebsplasticsurgery.com/,,120 East 56th St #800,New York,NY,10022
Natural,Laser & Skin Surgery Center of NY,3.5,(212) 686-7306,http://yelp.com/biz/laser-and-skin-surgery-center-of-ny-new-york,http://www.laserskinsurgery.com,,317 E 34th St,New York,NY,10016
Natural,"Amnon E Sadeh, MD",3.0,(718) 268-3322,http://yelp.com/biz/amnon-e-sadeh-md-forest-hills,,,,,,,undefined method `[]' for nil:NilClass
Natural,"T.Y. Steven Ip, M.D., F.A.C.S.",5.0,(855) 742-8800,http://yelp.com/biz/t-y-steven-ip-m-d-f-a-c-s-new-york,http://www.surgery-plasticsurgeon.com/,,799 Park Ave,New York,NY,10021
Natural,"Jennifer Levine, MD PLLC",4.5,(212) 517-9400,http://yelp.com/biz/jennifer-levine-md-new-york,http://www.drjenniferlevine.com,,240 East 79th Street,New York,NY,10075
Natural,"Kate McCarn, MD",5.0,(646) 962-2285,http://yelp.com/biz/kate-mccarn-md-new-york,http://www.drmccarn.com,,1305 York Ave5th Fl,New York,NY,10065
Natural,Spiro Plastic Surgery,5.0,(973) 736-5907,http://yelp.com/biz/spiro-plastic-surgery-west-orange-4,http://www.drspiro.com,,101 Old Short Hills RdSte 510,West Orange,NJ,07052
Natural,Anume Med Spa,5.0,(201) 418-3700,http://yelp.com/biz/anume-med-spa-jersey-city-2,http://www.anumemedspa.com,,600 Pavonia Ave2nd Fl,Jersey City,NJ,07302
Natural,Fountain of Youth Rx,3.5,(718) 966-1412,http://yelp.com/biz/fountain-of-youth-rx-staten-island,http://fountainofyouthrx.com,,3733 Richmond AveSte 1a,Staten Island,NY,10312
Natural,Madison Plastic Surgery PC,3.0,(212) 628-7600,http://yelp.com/biz/madison-plastic-surgery-pc-new-york,http://www.madisonps.com/,,110 E 66th St,New York,NY,10064
Natural,Schweiger Dermatology - Midtown,3.5,(212) 283-3000,http://yelp.com/biz/schweiger-dermatology-midtown-new-york,http://www.schweigerderm.com/locations/new-york/midtown/,,110 E 55th StFloor 14,New York,NY,10022
Natural,"Norman J Pastorek, MD PC FACS",5.0,(212) 987-4700,http://yelp.com/biz/norman-j-pastorek-md-pc-facs-new-york,http://www.normanpastorekmd.com/,,1127 Park Ave,New York,NY,10128
Natural,"Alfred Sofer, MD",4.5,(203) 336-9862,http://yelp.com/biz/alfred-sofer-md-fairfield,http://www.drsofer.com,,Plastic Surgery Center of Fairfield33 Miller St,Fairfield,CT,06824
Natural,New Look Plastic Surgery,N/A,(917) 383-2138,http://yelp.com/biz/new-look-plastic-surgery-brooklyn,http://www.newlooknyc.com,,9920 4th AveSte 308,Brooklyn,NY,11209
Natural,Central Park Cosmetics,5.0,(646) 692-3248,http://yelp.com/biz/central-park-cosmetics-new-york-2,http://www.centralparkcosmetics.com,,200 W 57th StSte 1005,New York,NY,10019
Natural,"Gary J Lelli, MD",5.0,(646) 962-2020,http://yelp.com/biz/gary-j-lelli-md-new-york,http://www.weillcornell.org,,Weill Cornell Eye Associates1305 York Ave,New York,NY,10021
Natural,"Matthew R. Schulman, MD",3.5,(212) 289-1851,http://yelp.com/biz/matthew-r-schulman-md-new-york,http://www.drschulmanplasticsurgery.com,,950 Park Ave,New York,NY,10028
Natural,"Paul Z Lorenc, MD FACS",5.0,(212) 472-2900,http://yelp.com/biz/paul-z-lorenc-md-facs-new-york,http://www.lorenc.com,,983 Park Ave,New York,NY,10028
Natural,Bulan Plastic Surgery,5.0,(973) 467-9744,http://yelp.com/biz/bulan-plastic-surgery-millburn,http://www.drerwinbulan.com,,75 Main StSte 105,Millburn,NJ,07041
Natural,Vogue Plastic Surgery,N/A,(718) 321-8950,http://yelp.com/biz/vogue-plastic-surgery-flushing,http://www.vogueps.com/,,136-20 38th Ave,Flushing,NY,11354
Natural,"Brian S Glatt, MD, FACS",5.0,(973) 889-9300,http://yelp.com/biz/brian-s-glatt-md-facs-morristown,http://www.drbrianglatt.com,,310 Madison AveSte 100,Morristown,NJ,07960
Natural,Parker Center For Plastic Surgery,3.0,(201) 967-1212,http://yelp.com/biz/parker-center-for-plastic-surgery-paramus,http://www.parkercenter.net,,122 E Ridgewood Ave,Paramus,NJ,07652
Natural,Michelle Zweifler MD,4.0,(212) 355-0500,http://yelp.com/biz/michelle-zweifler-md-new-york,http://www.drmichellezweifler.com/,,800A 5th Avenue,New York,NY,10065
Natural,"Nicole Schrader, MD, FACS",5.0,(609) 279-0009,http://yelp.com/biz/nicole-schrader-md-facs-princeton,http://www.princetonface.com,,615-616 Executive Dr,Princeton,NJ,08540
Natural,"Reza Momeni, MD",5.0,(908) 277-8759,http://yelp.com/biz/reza-momeni-md-berkeley-heights-2,http://www.plasticsurgerysmg.com/about-our-practice/dr-reza-momeni,,Plastic Surgery Center1 Diamond Hill Rd,Berkeley Heights,NJ,07922
Natural,"A Joshua Zimm MD,PC",4.5,(212) 327-4600,http://yelp.com/biz/a-joshua-zimm-md-pc-new-york,http://www.drjoshuazimm.com/,,50 East 72nd StSte 1A,New York,NY,10028
Natural,Long Island Plastic Surgical Group,N/A,(516) 742-3404,http://yelp.com/biz/long-island-plastic-surgical-group-garden-city,http://www.lipsg.com,,999 Franklin AveSte 300,Garden City,NY,11530
Natural,"Bruce K Moskowitz, MD",4.0,(212) 979-4586,http://yelp.com/biz/bruce-k-moskowitz-md-new-york,http://www.brucemoskowitzmd.com/,,310 E 14th StSte 401,New York,NY,10003
Natural,Healthway Aesthetics,3.0,(718) 891-6969,http://yelp.com/biz/healthway-aesthetics-brooklyn,http://www.way4beauty.com,,2195 E  22nd StSte 1C,Brooklyn,NY,11229
Natural,Dana Khuthaila MD FRCSC FACS,5.0,(212) 810-9052,http://yelp.com/biz/dana-khuthaila-md-frcsc-facs-new-york-2,http://www.drkhuthaila.com,,30 Central Park SSte 11B,New York,NY,10019
Natural,NicholsMD of Greenwich,5.0,(203) 862-4000,http://yelp.com/biz/nicholsmd-of-greenwich-greenwich-3,http://kimnicholsmd.com,,469 W Putnam AveSte 201,Greenwich,CT,06830
Natural,Plastic Surgery Of Westchester,5.0,(914) 771-7373,http://yelp.com/biz/plastic-surgery-of-westchester-harrison,http://www.plasticsurgeryofwestchester.com,,500 Mamaroneck Ave,Harrison,NY,10528
Natural,Manhattan Body,5.0,(212) 888-7770,http://yelp.com/biz/manhattan-body-manhattan,http://www.manhattanbody.com,,10 E 53rd St25th Fl,Manhattan,NY,10022
Natural,Day Plastic Surgery,5.0,(718) 246-0130,http://yelp.com/biz/day-plastic-surgery-brooklyn,http://www.dayplasticsurgery.com,,142 Joralemon St,Brooklyn,NY,11201
Natural,"Jeffrey M Ahn, MD",2.5,(201) 461-9400,http://yelp.com/biz/jeffrey-m-ahn-md-fort-lee,http://www.parkavesinusallergy.com,,1485 Palisade Ave,Fort Lee,NJ,07024
Natural,"Advanced Dermatology, P.C.",2.5,(929) 336-5568,http://yelp.com/biz/advanced-dermatology-p-c-new-york-3,http://www.advanceddermatologypc.com,,1107 Park Ave,New York,NY,10128
Natural,"George Philip Smith, MD",5.0,(718) 608-1111,http://yelp.com/biz/george-philip-smith-md-bulls-head,http://www.drsmithplasticsurgeon.com/,,2066 Richmond Ave,Bulls Head,NY,10314
Natural,"Michael Setzen, MD, FACS, FAAP",5.0,(929) 329-2535,http://yelp.com/biz/michael-setzen-md-facs-faap-great-neck,http://www.michaelsetzen.com/,,600 Northern BlvdSte 312,Great Neck,NY,11021
Natural,Skin Laser & Surgery Specialists of NY and NJ,3.0,(212) 750-8900,http://yelp.com/biz/skin-laser-and-surgery-specialists-of-ny-and-nj-new-york,http://www.skinandlasers.com,,115 E 57th StSte 400,New York,NY,10022
Natural,"Edmund Liu, MD, PA",5.0,(973) 571-1933,http://yelp.com/biz/edmund-liu-md-pa-verona,http://njfaces.com,,207 Pompton Ave,Verona,NJ,07044
Natural,"Moshe Ephrat, MD FACS",5.0,(516) 775-2800,http://yelp.com/biz/moshe-ephrat-md-facs-lake-success,http://www.entandallergy.com/doctor/moshe-ephrat-md,,"ENT and Allergy Associates3003 New Hyde Park Rd, Ste 409",Lake Success,NY,11042
Natural,"Mark H Schwartz, MD FACS",5.0,(212) 737-9090,http://yelp.com/biz/mark-h-schwartz-md-facs-new-york,http://www.drmarkschwartz.com,,79 E 79th St,New York,NY,10075
Natural,Bio Skinergy,2.5,(212) 721-4545,http://yelp.com/biz/bio-skinergy-new-york,http://www.bioskinergynewyork.com/,,55 Central Park WSte 1B,New York,NY,10023
Natural,"Amy B Lewis, MD",2.5,(212) 288-6133,http://yelp.com/biz/amy-b-lewis-md-new-york,http://www.amyblewismd.com/,,120 E 75th St,New York,NY,10021
Natural,"Robert C Ciardullo, MD",5.0,(914) 948-4636,http://yelp.com/biz/robert-c-ciardullo-md-white-plains,http://robertciardullomd.com/,,170 Maple AveSte 305,White Plains,NY,10601
Natural,"David K Funt, MD",5.0,(516) 295-0404,http://yelp.com/biz/david-k-funt-md-woodmere,http://www.davidfuntmd.com/,,19 Irving Pl,Woodmere,NY,11598
Natural,"James N Romanelli, MD FACS",3.5,(631) 424-3600,http://yelp.com/biz/james-n-romanelli-md-facs-huntington,http://www.jrcs.com,,110 E Main StSte 6,Huntington,NY,11743
Natural,"Norman Rowe, MD",3.5,(212) 628-7300,http://yelp.com/biz/norman-rowe-md-new-york-3,http://www.NormanRoweMD.com,,71 E 77th StSte 1A,New York,NY,10075
Natural,Plastic Surgery of Short Hills,3.5,(845) 215-9800,http://yelp.com/biz/plastic-surgery-of-short-hills-millburn,http://drtonyperkins.com/,,1046 S Orange Ave,Short Hills,NJ,07078
Natural,"Robert M Freund, MD",2.5,(212) 583-1200,http://yelp.com/biz/robert-m-freund-md-new-york,http://www.robertfreundmd.com,,170 E End AveSte CS,New York,NY,10128
Natural,Robert Woodbury MD,4.0,(203) 637-8114,http://yelp.com/biz/robert-woodbury-md-riverside,,,,,,,undefined method `[]' for nil:NilClass
Natural,"Scott E. Newman MD, FACS",N/A,(914) 423-9000,http://yelp.com/biz/scott-e-newman-md-facs-white-plains,http://www.psurgery.com,,311 North St,White Plains,NY,10605
Natural,Reflections Center For Skin & Body,3.0,(732) 356-1666,http://yelp.com/biz/reflections-center-for-skin-and-body-martinsville,http://www.reflectionscenter.com,,1924 Washington Valley Rd,Martinsville,NJ,08836
Natural,Associates In Plastic Surgery,N/A,(718) 477-2020,http://yelp.com/biz/associates-in-plastic-surgery-staten-island-2,http://www.AssociatesinPlasticSurgery.com,,1424 Richmond Ave,Staten Island,NY,10314
Natural,"Adam Hamawy, MD",5.0,(212) 960-3808,http://yelp.com/biz/adam-hamawy-md-new-york,http://www.drhamawy.com/,,635 Madison Ave4th Fl,New York,NY,10022
Natural,Macri MD Liposuction & Laser Center of NJ and NY,3.0,(201) 358-2922,http://yelp.com/biz/macri-md-liposuction-and-laser-center-of-nj-and-ny-westwood,http://www.mymdaesthetics.com/,,10 Fairview Avenue,Westwood,NJ,07675
Natural,"Dr JoAn Monaco, MD, PLLC",5.0,(212) 988-7788,http://yelp.com/biz/dr-joan-monaco-md-pllc-new-york,http://www.DrJoAnMonaco.com,,1034 5th Ave,New York,NY,10028
Natural,Sternschein Michael MD,5.0,(201) 444-1188,http://yelp.com/biz/sternschein-michael-md-ridgewood,http://www.plasticsurgeryms.com,,1200 E Ridgewood Ave,Ridgewood,NJ,07450
Natural,"Leonard Grossman, M.D.",5.0,(718) 934-5500,http://yelp.com/biz/leonard-grossman-md-brooklyn,http://www.drgrossman.com,,3039 Emmons Ave.,Brooklyn,NY,11235
Natural,"Dr. Elliot Heller, MD",4.0,(212) 661-2563,http://yelp.com/biz/dr-elliot-heller-md-new-york,http://newyorkplasticsurgeryallure.com/,,150 E 61st St,New York,NY,10065
Natural,Thompson Center for Plastic Surgery,5.0,(732) 410-4789,http://yelp.com/biz/thompson-center-for-plastic-surgery-colts-neck,http://www.thompsonplasticsurgerycenter.com,,5 Professional CirSte 107,Colts Neck,NJ,07722
Natural,"Jonathan L Nelson, MD FAAD",4.5,(914) 251-9110,http://yelp.com/biz/jonathan-l-nelson-md-faad-rye,http://www.famdermcent.com,,33 Cedar StSte 6,Rye,NY,10580
Natural,Ritu Saini,2.0,(212) 867-1020,http://yelp.com/biz/ritu-saini-new-york-3,http://www.nymedskin.com,,345 E 37th StSte 301,New York,NY,10016
Natural,Elliot W Jacobs MD PC,4.0,(212) 570-6080,http://yelp.com/biz/elliot-w-jacobs-md-pc-new-york,http://drelliotjacobs.com,,815 Park AveSte 1,New York,NY,10021
Natural,Manhattan Surgical Care,5.0,(212) 308-1566,http://yelp.com/biz/manhattan-surgical-care-new-york,http://www.nycsurgical.com/,,240 E 64th St,New York,NY,10065
Natural,"Neal Goldberg, MD FACS",5.0,(914) 722-1600,http://yelp.com/biz/neal-goldberg-md-facs-scarsdale,http://www.doctorgoldberg.com,,495 Central Park AveSte 305 B,Scarsdale,NY,10583
Natural,Marvin Family Chiropractic PC,5.0,(845) 735-4755,http://yelp.com/biz/marvin-family-chiropractic-pearl-river,http://marvinchiro.com/,,37 E Central Ave,Pearl River,NY,10965
Natural,Allure Plastic Surgery,5.0,(718) 477-2020,http://yelp.com/biz/allure-plastic-surgery-staten-island,http://www.newyorkplasticsurgeryallure.com,,1424 Richmond Ave,Staten Island,NY,10314
Natural,East Coast Advanced Plastic Surgery,5.0,(201) 449-1000,http://yelp.com/biz/east-coast-advanced-plastic-surgery-ridgewood-2,http://ecaplasticsurgery.com,,20 Wilsey SqSte C,Ridgewood,NJ,07450
Natural,"Joshua Greenwald, MD",5.0,(914) 421-0113,http://yelp.com/biz/joshua-greenwald-md-white-plains,,,,,,,undefined method `[]' for nil:NilClass
Natural,"Thomas P Sterry, MD",5.0,(212) 249-4020,http://yelp.com/biz/thomas-p-sterry-md-new-york-city,http://www.drsterry.com/,,895 Park AveSte 1b,New York City,NY,10075
Natural,Engler Alan M MD,4.0,(212) 308-7000,http://yelp.com/biz/engler-alan-m-md-new-york,http://www.bodysculpture.com/,,122 E 64th St,New York,NY,10021
Natural,True & Dorin: The Hair Loss Doctors,5.0,(212) 826-2525,http://yelp.com/biz/true-and-dorin-medical-group-new-york-2,http://www.truedorin.com/,,"499 7th AveFL 24, South Tower",New York,NY,10018
Natural,Elliot Heller MD Facs,5.0,(718) 477-2020,http://yelp.com/biz/elliot-heller-md-facs-staten-island,,,,,,,undefined method `[]' for nil:NilClass
Natural,Ziering Medical,5.0,(866) 743-6095,http://yelp.com/biz/ziering-medical-new-york,http://www.zieringmedical.com,,240 Central Park SouthSuite 1P,New York,NY,10019
Natural,Moreano Plastic Surgery,N/A,(718) 478-7787,http://yelp.com/biz/moreano-plastic-surgery-jackson-heights,http://surgeryandart.com,,37-55 91 St,Jackson Heights,NY,11372
Natural,Discreet Plastic Surgery,N/A,(212) 444-9095,http://yelp.com/biz/discreet-plastic-surgery-manhattan,http://discreetplasticsurgery.com/,,121 E 60th StSte 5D,Manhattan,NY,10022
Natural,"Chiu David T W, MD",N/A,(212) 879-8880,http://yelp.com/biz/chiu-david-t-w-md-new-york,http://www.davidchiumd.com,,900 Park Ave,New York,NY,10075
Natural,Peer Group For Plastic Surgery,3.0,(973) 822-3000,http://yelp.com/biz/peer-group-for-plastic-surgery-florham-park-2,http://www.peergroupnj.com,,124 Columbia Tpke,Florham Park,NJ,07932
Natural,"Douglas S Steinbrech, MD",5.0,(212) 750-0070,http://yelp.com/biz/douglas-s-steinbrech-md-new-york-3,http://www.drsteinbrech.com,,60 E 56th St3rd Fl,New York,NY,10022
Natural,JUVA Skin & Laser Center,2.0,(212) 688-5882,http://yelp.com/biz/juva-skin-and-laser-center-new-york,http://www.juvaskin.com/,,"60 East 56th Street, Suite 2",New York,NY,10022
Natural,Dormer Medical Spa,3.0,(212) 535-5905,http://yelp.com/biz/dormer-medical-spa-new-york,http://www.dormermedicalspa.com,,121 E 71st St,New York,NY,10021
